,Date,Open,High,Low,Close,Adj Close,Volume
0,2011-03-29,10.0,10.0,10.0,10.0,10.0,0.0
1,2011-03-30,10.4203,10.4203,10.4203,10.4203,10.4203,0.0
2,2011-03-31,10.46721,10.46721,10.46721,10.46721,10.46721,0.0
3,2011-04-01,10.47762,10.47762,10.47762,10.47762,10.47762,0.0
4,2011-04-04,10.49435,10.49435,10.49435,10.49435,10.49435,0.0
5,2011-04-05,10.4566,10.4566,10.4566,10.4566,10.4566,0.0
6,2011-04-06,10.42652,10.42652,10.42652,10.42652,10.42652,0.0
7,2011-04-07,10.44572,10.44572,10.44572,10.44572,10.44572,0.0
8,2011-04-08,10.44735,10.44735,10.44735,10.44735,10.44735,0.0
9,2011-04-11,10.39643,10.39643,10.39643,10.39643,10.39643,0.0
10,2011-04-13,10.501,10.649,10.401,10.555,10.555,16150.0
11,2011-04-15,10.6,10.985,10.005,10.271,10.271,28300.0
12,2011-04-18,10.473,10.5,10.3,10.349,10.349,30850.0
13,2011-04-19,10.301,10.35,10.2,10.236,10.236,10100.0
14,2011-04-20,10.498,10.498,10.204,10.245,10.245,13380.0
15,2011-04-21,10.399,10.475,10.2,10.407,10.407,30150.0
16,2011-04-25,10.5,10.599,10.3,10.463,10.463,57610.0
17,2011-04-26,10.53,10.64,10.4,10.597,10.597,61730.0
18,2011-04-27,10.85,10.85,10.379,10.599,10.599,68450.0
19,2011-04-28,10.46,10.6,10.425,10.597,10.597,55760.0
20,2011-04-29,10.6,10.6,10.303,10.388,10.388,89060.0
21,2011-05-02,12.2,12.2,10.5,10.594,10.594,21130.0
22,2011-05-03,10.36,10.58,10.3,10.3,10.3,27340.0
23,2011-05-04,10.3,10.51,10.157,10.406,10.406,8210.0
24,2011-05-05,10.305,10.436,10.2,10.327,10.327,13260.0
25,2011-05-06,10.65,10.8,10.2,10.495,10.495,17810.0
26,2011-05-09,10.5,10.668,10.3,10.346,10.346,57480.0
27,2011-05-10,10.31,10.58,10.31,10.488,10.488,8130.0
28,2011-05-11,10.55,10.6,10.35,10.458,10.458,21520.0
29,2011-05-12,10.58,10.65,10.3,10.346,10.346,14840.0
30,2011-05-13,10.4,10.695,10.4,10.574,10.574,40390.0
31,2011-05-16,12.0,12.0,10.5,10.579,10.579,9570.0
32,2011-05-17,10.568,10.568,10.36,10.548,10.548,5620.0
33,2011-05-18,10.49,10.5,10.2,10.353,10.353,18870.0
34,2011-05-19,10.49,10.49,10.21,10.375,10.375,650.0
35,2011-05-20,10.4,10.64,10.3,10.405,10.405,1066380.0
36,2011-05-23,10.5,10.59,10.23,10.248,10.248,8910.0
37,2011-05-24,10.47,10.58,10.212,10.516,10.516,488750.0
38,2011-05-25,10.3,10.427,10.2,10.213,10.213,11550.0
39,2011-05-26,10.2,10.5,10.2,10.38,10.38,13510.0
40,2011-05-27,10.77,10.77,10.135,10.206,10.206,16200.0
41,2011-05-30,10.688,10.688,10.15,10.347,10.347,1203690.0
42,2011-05-31,10.58,10.58,10.229,10.298,10.298,16700.0
43,2011-06-01,10.644,10.644,10.257,10.373,10.373,8620.0
44,2011-06-02,10.5,10.5,10.2,10.215,10.215,9000.0
45,2011-06-03,10.4,10.43,10.3,10.301,10.301,12500.0
46,2011-06-06,10.325,10.48,10.2,10.317,10.317,4740.0
47,2011-06-07,10.35,10.5,10.3,10.313,10.313,25710.0
48,2011-06-08,10.388,10.4,10.3,10.4,10.4,29310.0
49,2011-06-09,10.31,10.394,10.13,10.26,10.26,4720.0
50,2011-06-10,10.35,10.35,10.21,10.218,10.218,1300.0
51,2011-06-13,10.398,10.398,10.07,10.099,10.099,22890.0
52,2011-06-14,10.1,10.1,9.93,10.0,10.0,11450.0
53,2011-06-15,10.185,10.185,10.0,10.0,10.0,6310.0
54,2011-06-16,10.1,10.1,9.8,9.999,9.999,1303650.0
55,2011-06-17,10.098,10.098,9.9,9.905,9.905,256900.0
56,2011-06-20,9.9,10.0,9.805,9.985,9.985,1930.0
57,2011-06-21,9.655,10.249,9.6,10.204,10.204,26820.0
58,2011-06-22,9.905,10.15,9.9,9.926,9.926,9750.0
59,2011-06-23,9.985,10.15,9.863,10.137,10.137,6190.0
60,2011-06-24,9.71,10.299,9.71,10.13,10.13,50720.0
61,2011-06-27,10.15,10.256,9.912,10.254,10.254,3950.0
62,2011-06-28,10.234,10.234,9.9,10.175,10.175,5130.0
