,Brazil Returns,Russia Returns,India Returns,China Returns,South Africa Returns
325,-0.005664222,-0.0044908165,-0.0015000957,-0.0035058365,-0.0058215824
326,-0.0056497124,-0.004478446,-0.0015130653,-0.0034770381,-0.00579535
327,-0.0059378482,-0.0046990444,-0.001582323,-0.0036981665,-0.0060679177
328,-0.0055579133,-0.0044049844,-0.0014638198,-0.0034350362,-0.005724125
329,-0.005638624,-0.004465848,-0.0014525746,-0.0035345324,-0.00582155
330,-0.006063513,-0.004780103,-0.0015589446,-0.0038780503,-0.0062199584
331,-0.0058984607,-0.004661433,-0.0015082223,-0.0037544882,-0.0060726553
332,-0.0056789266,-0.0045022,-0.001452874,-0.0035765995,-0.005868005
333,-0.005384849,-0.004278892,-0.0013804566,-0.003345286,-0.0055896454
334,-0.0052593797,-0.004180508,-0.0013417851,-0.0032567505,-0.0054748403
335,-0.005949942,-0.004698521,-0.0015324475,-0.0037763347,-0.0061108107
336,-0.005585702,-0.0044220444,-0.0014311168,-0.003500258,-0.0057728468
337,-0.006010726,-0.0047359727,-0.0015388704,-0.0038435985,-0.006172291
338,-0.0058724578,-0.0046388707,-0.0015006739,-0.0037329968,-0.0060475236
339,-0.005703429,-0.004518433,-0.0014677024,-0.0035832338,-0.0058847303
340,-0.0054930933,-0.004358547,-0.0014295162,-0.0034030045,-0.0056768153
341,-0.005371765,-0.0042641773,-0.0013964724,-0.0033148522,-0.0055648526
342,-0.0058409027,-0.004618282,-0.0015286063,-0.0036573887,-0.005994761
343,-0.0053487928,-0.0042397403,-0.0013859707,-0.003303499,-0.0055439705
344,-0.0054755677,-0.0043368195,-0.0014224015,-0.0033954452,-0.0056608566
345,-0.0055737584,-0.0044134613,-0.0014667937,-0.0034484451,-0.0057407063
346,-0.00564215,-0.0044660913,-0.001514573,-0.0034681612,-0.005784296
347,-0.005683188,-0.0044947476,-0.0015514684,-0.0034727957,-0.005803492
348,-0.005781664,-0.0045687025,-0.0015840475,-0.0035378588,-0.0058893193
349,-0.0055984263,-0.004425748,-0.0015232366,-0.0034156097,-0.005725421
350,-0.0054393313,-0.0043048393,-0.0014500034,-0.0033287094,-0.0055980617
351,-0.0055196513,-0.0043666447,-0.001463159,-0.0033979495,-0.005680782
352,-0.005809843,-0.0045917886,-0.0015562184,-0.0035958951,-0.005941817
353,-0.0060147173,-0.004750984,-0.0016342223,-0.0037224425,-0.0061175036
354,-0.006169191,-0.0048699724,-0.001692462,-0.003818346,-0.0062496373
355,-0.0059764255,-0.0047198385,-0.001642979,-0.0036753202,-0.006067927
356,-0.0062843524,-0.004956624,-0.001698637,-0.0039329003,-0.0063734995
357,-0.005819311,-0.0045977687,-0.0015618772,-0.003601128,-0.0059473626
358,-0.006000343,-0.0047364584,-0.001615914,-0.003728465,-0.0061109033
359,-0.0060630324,-0.004787692,-0.0016297614,-0.0037777505,-0.0061719287
360,-0.006108452,-0.004825766,-0.0016492573,-0.0038024422,-0.0062097264
361,-0.006143758,-0.0048536486,-0.0016637861,-0.003822233,-0.006238667
362,-0.0058274884,-0.004606883,-0.0015830045,-0.0035845235,-0.0059393602
363,-0.00614886,-0.004853368,-0.0016507133,-0.0038424958,-0.006250302
364,-0.0058057616,-0.0045879334,-0.0015354215,-0.0036132005,-0.005945607
365,-0.006016218,-0.004747417,-0.0015747643,-0.0037952706,-0.006154075
366,-0.005905138,-0.0046670567,-0.0015417722,-0.0037130332,-0.006054662
367,-0.00576933,-0.0045676935,-0.0015155952,-0.0035966334,-0.00592296
368,-0.0056068287,-0.0044425954,-0.0014853706,-0.0034604708,-0.00576248
369,-0.005533171,-0.0043794927,-0.0014854841,-0.0033862786,-0.005677893
370,-0.0061389264,-0.004843502,-0.0016453746,-0.00383809,-0.0062437947
371,-0.005882316,-0.004644874,-0.0015748366,-0.0036485493,-0.0060055642
372,-0.006261575,-0.004934259,-0.0016650769,-0.003950061,-0.0063678655
373,-0.0061951494,-0.0048884745,-0.0016618551,-0.0038794612,-0.006298192
374,-0.006120876,-0.0048339623,-0.0016709629,-0.003790136,-0.006210242
375,-0.0060243052,-0.0047561745,-0.0016759814,-0.0036879722,-0.006098126
376,-0.005943985,-0.0046868566,-0.0016764357,-0.0036090144,-0.0060043843
377,-0.0060567604,-0.004775056,-0.0016964686,-0.0037001662,-0.0061168717
378,-0.006047968,-0.0047730603,-0.0016429996,-0.0037456395,-0.0061463183
379,-0.0058785197,-0.0046437657,-0.0015824263,-0.0036371402,-0.005999057
380,-0.005845899,-0.004620908,-0.0015797828,-0.0036060335,-0.005965003
381,-0.0057893465,-0.0045779767,-0.0015822403,-0.0035464836,-0.005900081
382,-0.005715493,-0.004520171,-0.0015692604,-0.0034870082,-0.0058268122
383,-0.0058487053,-0.004613964,-0.0016450648,-0.0035466144,-0.005919565
384,-0.0060215746,-0.004749694,-0.0016814336,-0.0036805063,-0.0060882424
385,-0.0057705306,-0.00455209,-0.0016047411,-0.0035074065,-0.0058588786
386,-0.005829319,-0.0045946194,-0.001630856,-0.003540335,-0.005905004
387,-0.005838142,-0.004601738,-0.0016434126,-0.003537345,-0.005906137
388,-0.0058241724,-0.004588389,-0.0016626812,-0.003507425,-0.0058763004
389,-0.005787606,-0.0045561884,-0.0016708389,-0.0034664604,-0.0058282195
390,-0.005826558,-0.0045889425,-0.0016718819,-0.0035018467,-0.0058713215
391,-0.005800405,-0.004572209,-0.0016403458,-0.0035028744,-0.005863537
392,-0.0058506257,-0.0046173786,-0.0016188984,-0.0035706381,-0.0059357095
393,-0.005508728,-0.004352415,-0.0015098952,-0.003336166,-0.005626793
394,-0.0055550477,-0.0043901857,-0.0015240214,-0.0033681416,-0.005669393
395,-0.005585297,-0.004412543,-0.0015501466,-0.0033742527,-0.005685245
396,-0.0056176325,-0.004434688,-0.0015754767,-0.0033836716,-0.005703345
397,-0.0056075794,-0.0044260514,-0.0015692707,-0.0033800928,-0.005696378
398,-0.005696017,-0.004499255,-0.0015636842,-0.0034697216,-0.005800097
399,-0.005591689,-0.004419616,-0.0015084288,-0.003420908,-0.0057226527
400,-0.0054298933,-0.004294867,-0.001454836,-0.0033116846,-0.0055787866
401,-0.005692341,-0.004500318,-0.0015334595,-0.0034968008,-0.00582044
