Date,Open,High,Low,Close,Adj Close,Volume
2011-03-29,10.000000,10.000000,10.000000,10.000000,10.000000,0
2011-03-30,10.420300,10.420300,10.420300,10.420300,10.420300,0
2011-03-31,10.467210,10.467210,10.467210,10.467210,10.467210,0
2011-04-01,10.477620,10.477620,10.477620,10.477620,10.477620,0
2011-04-04,10.494350,10.494350,10.494350,10.494350,10.494350,0
2011-04-05,10.456600,10.456600,10.456600,10.456600,10.456600,0
2011-04-06,10.426520,10.426520,10.426520,10.426520,10.426520,0
2011-04-07,10.445720,10.445720,10.445720,10.445720,10.445720,0
2011-04-08,10.447350,10.447350,10.447350,10.447350,10.447350,0
2011-04-11,10.396430,10.396430,10.396430,10.396430,10.396430,0
2011-04-13,10.501000,10.649000,10.401000,10.555000,10.555000,16150
2011-04-15,10.600000,10.985000,10.005000,10.271000,10.271000,28300
2011-04-18,10.473000,10.500000,10.300000,10.349000,10.349000,30850
2011-04-19,10.301000,10.350000,10.200000,10.236000,10.236000,10100
2011-04-20,10.498000,10.498000,10.204000,10.245000,10.245000,13380
2011-04-21,10.399000,10.475000,10.200000,10.407000,10.407000,30150
2011-04-25,10.500000,10.599000,10.300000,10.463000,10.463000,57610
2011-04-26,10.530000,10.640000,10.400000,10.597000,10.597000,61730
2011-04-27,10.850000,10.850000,10.379000,10.599000,10.599000,68450
2011-04-28,10.460000,10.600000,10.425000,10.597000,10.597000,55760
2011-04-29,10.600000,10.600000,10.303000,10.388000,10.388000,89060
2011-05-02,12.200000,12.200000,10.500000,10.594000,10.594000,21130
2011-05-03,10.360000,10.580000,10.300000,10.300000,10.300000,27340
2011-05-04,10.300000,10.510000,10.157000,10.406000,10.406000,8210
2011-05-05,10.305000,10.436000,10.200000,10.327000,10.327000,13260
2011-05-06,10.650000,10.800000,10.200000,10.495000,10.495000,17810
2011-05-09,10.500000,10.668000,10.300000,10.346000,10.346000,57480
2011-05-10,10.310000,10.580000,10.310000,10.488000,10.488000,8130
2011-05-11,10.550000,10.600000,10.350000,10.458000,10.458000,21520
2011-05-12,10.580000,10.650000,10.300000,10.346000,10.346000,14840
2011-05-13,10.400000,10.695000,10.400000,10.574000,10.574000,40390
2011-05-16,12.000000,12.000000,10.500000,10.579000,10.579000,9570
2011-05-17,10.568000,10.568000,10.360000,10.548000,10.548000,5620
2011-05-18,10.490000,10.500000,10.200000,10.353000,10.353000,18870
2011-05-19,10.490000,10.490000,10.210000,10.375000,10.375000,650
2011-05-20,10.400000,10.640000,10.300000,10.405000,10.405000,1066380
2011-05-23,10.500000,10.590000,10.230000,10.248000,10.248000,8910
2011-05-24,10.470000,10.580000,10.212000,10.516000,10.516000,488750
2011-05-25,10.300000,10.427000,10.200000,10.213000,10.213000,11550
2011-05-26,10.200000,10.500000,10.200000,10.380000,10.380000,13510
2011-05-27,10.770000,10.770000,10.135000,10.206000,10.206000,16200
2011-05-30,10.688000,10.688000,10.150000,10.347000,10.347000,1203690
2011-05-31,10.580000,10.580000,10.229000,10.298000,10.298000,16700
2011-06-01,10.644000,10.644000,10.257000,10.373000,10.373000,8620
2011-06-02,10.500000,10.500000,10.200000,10.215000,10.215000,9000
2011-06-03,10.400000,10.430000,10.300000,10.301000,10.301000,12500
2011-06-06,10.325000,10.480000,10.200000,10.317000,10.317000,4740
2011-06-07,10.350000,10.500000,10.300000,10.313000,10.313000,25710
2011-06-08,10.388000,10.400000,10.300000,10.400000,10.400000,29310
2011-06-09,10.310000,10.394000,10.130000,10.260000,10.260000,4720
2011-06-10,10.350000,10.350000,10.210000,10.218000,10.218000,1300
2011-06-13,10.398000,10.398000,10.070000,10.099000,10.099000,22890
2011-06-14,10.100000,10.100000,9.930000,10.000000,10.000000,11450
2011-06-15,10.185000,10.185000,10.000000,10.000000,10.000000,6310
2011-06-16,10.100000,10.100000,9.800000,9.999000,9.999000,1303650
2011-06-17,10.098000,10.098000,9.900000,9.905000,9.905000,256900
2011-06-20,9.900000,10.000000,9.805000,9.985000,9.985000,1930
2011-06-21,9.655000,10.249000,9.600000,10.204000,10.204000,26820
2011-06-22,9.905000,10.150000,9.900000,9.926000,9.926000,9750
2011-06-23,9.985000,10.150000,9.863000,10.137000,10.137000,6190
